GENESIS-Tabelle: 24321-0002
Strafgefangene und Sicherungsverwahrte: Bundesländer,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stichtag, Nationalität, Geschlecht, Altersgruppen, Art des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vollzugs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strafvollzugsstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strafgefangene und Sicherungsverwahrte (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Baden-Württemberg;Baden-Württemberg;Baden-Württemberg;Bayern;Bayern;Bayern;Berlin;Berlin;Berlin;Brandenburg;Brandenburg;Brandenburg;Bremen;Bremen;Bremen;Hamburg;Hamburg;Hamburg;Hessen;Hessen;Hessen;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen;Niedersachsen;Nordrhein-Westfalen;Nordrhein-Westfalen;Nordrhein-Westfalen;Rheinland-Pfalz;Rheinland-Pfalz;Rheinland-Pfalz;Saarland;Saarland;Saarland;Sachsen;Sachsen;Sachsen;Sachsen-Anhalt;Sachsen-Anhalt;Sachsen-Anhalt;Schleswig-Holstein;Schleswig-Holstein;Schleswig-Holstein;Thüringen;Thüringen;Thüringen
31.03.2021;Deutsche;weiblich;Insgesamt;167;13;1;316;9;0;80;1;0;87;3;0;20;0;0;36;0;0;127;6;1;24;3;0;160;4;0;512;28;0;128;4;0;0;0;0;149;6;0;10;0;0;40;0;0;6;0;0
31.03.2021;Deutsche;Insgesamt;14 bis unter 18 Jahre;0;39;0;0;33;0;0;7;0;0;0;0;0;1;0;0;2;0;0;12;0;0;7;0;0;19;0;0;77;0;0;15;0;0;3;0;0;10;0;0;8;0;0;4;0;0;3;0
31.03.2021;Deutsche;Insgesamt;18 bis unter 21 Jahre;23;110;0;24;125;0;0;45;0;1;10;0;2;1;0;0;13;0;4;70;0;1;24;0;2;82;0;3;234;0;4;54;0;0;15;0;1;59;0;0;38;0;0;16;0;0;20;0
31.03.2021;Deutsche;Insgesamt;21 bis unter 25 Jahre;191;72;0;280;129;0;35;29;0;19;18;0;13;0;0;22;14;0;55;59;0;30;30;0;96;89;0;228;224;0;65;62;0;18;13;0;58;49;0;54;49;0;26;18;0;32;48;0
31.03.2021;Deutsche;Insgesamt;25 bis unter 30 Jahre;396;3;0;624;1;0;169;3;0;109;0;0;35;0;0;81;0;0;227;2;0;94;1;0;346;3;0;982;13;0;236;1;0;55;0;0;229;0;0;157;1;0;107;0;0;111;3;0
31.03.2021;Deutsche;Insgesamt;30 bis unter 40 Jahre;949;0;2;1396;0;4;448;0;3;324;0;2;103;0;0;228;0;3;578;0;3;266;0;2;881;0;1;2465;0;7;589;0;2;143;0;0;654;0;1;542;0;1;216;0;0;442;0;0
31.03.2021;Deutsche;Insgesamt;40 bis unter 50 Jahre;535;0;15;776;0;11;282;0;10;109;0;3;71;0;0;128;0;2;415;1;14;151;0;4;576;0;8;1581;0;27;323;0;9;100;0;1;344;0;12;250;0;2;112;0;1;216;0;2
31.03.2021;Deutsche;Insgesamt;50 bis unter 60 Jahre;347;0;27;594;0;13;175;0;21;72;0;5;30;0;0;75;0;14;265;0;25;64;0;5;352;0;24;963;0;59;223;0;23;48;0;1;152;0;10;102;0;9;70;0;1;99;0;1
31.03.2021;Deutsche;Insgesamt;60 bis unter 70 Jahre;156;0;10;227;0;10;83;0;11;42;0;2;10;0;0;24;0;4;107;0;20;32;0;1;126;0;12;328;0;38;76;0;8;22;0;0;45;0;9;39;0;4;18;0;3;33;0;0
31.03.2021;Deutsche;Insgesamt;70 Jahre und mehr;53;0;4;73;0;7;24;0;1;6;0;0;2;0;0;7;0;1;37;0;4;6;0;0;37;0;4;106;0;6;23;0;4;4;0;0;19;0;2;8;0;1;10;0;0;7;0;0
31.03.2021;Deutsche;Insgesamt;Insgesamt;2650;224;58;3994;288;45;1216;84;46;682;28;12;266;2;0;565;29;24;1688;144;66;644;62;12;2416;193;49;6656;548;137;1539;132;46;390;31;2;1502;118;34;1152;96;17;559;38;5;940;74;3
31.03.2021;Ausländer;männlich;14 bis unter 18 Jahre;0;13;0;0;24;0;0;11;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;5;0;0;36;0;0;5;0;0;1;0;0;4;0;0;1;0;0;1;0;0;2;0
31.03.2021;Ausländer;männlich;18 bis unter 21 Jahre;16;64;0;11;47;0;0;23;0;0;4;0;2;1;0;0;8;0;1;34;0;0;4;0;3;34;0;5;124;0;3;24;0;0;4;0;0;18;0;0;4;0;2;7;0;1;7;0
31.03.2021;Ausländer;männlich;21 bis unter 25 Jahre;256;46;0;253;78;0;55;35;0;4;4;0;12;7;0;45;6;0;69;31;0;7;8;0;82;40;0;197;123;0;42;23;0;16;15;0;48;19;0;19;14;0;23;6;0;31;11;0
31.03.2021;Ausländer;männlich;25 bis unter 30 Jahre;387;3;1;500;0;0;219;2;0;34;1;0;33;1;0;105;0;0;206;0;0;10;0;0;248;2;0;627;3;0;104;1;0;25;0;0;114;0;0;34;0;0;52;0;0;25;0;0
31.03.2021;Ausländer;männlich;30 bis unter 40 Jahre;659;0;0;883;1;1;408;0;1;66;0;0;71;0;0;234;0;0;393;0;1;30;0;0;349;0;0;1241;2;0;164;0;2;62;0;0;170;0;0;62;0;0;80;0;0;49;0;0
31.03.2021;Ausländer;männlich;40 bis unter 50 Jahre;388;0;0;525;0;1;296;0;2;44;0;0;37;0;0;162;0;0;236;0;2;19;0;0;215;0;0;805;0;5;121;0;1;28;0;0;111;0;0;32;0;0;55;0;0;21;0;0
31.03.2021;Ausländer;männlich;50 bis unter 60 Jahre;168;0;3;223;0;2;85;0;2;16;0;0;12;0;0;46;0;0;99;0;0;9;0;0;84;0;0;308;0;4;50;0;1;16;0;0;38;0;1;12;0;0;18;0;0;11;0;0
31.03.2021;Ausländer;männlich;60 bis unter 70 Jahre;32;0;0;57;0;0;15;0;1;4;0;0;5;0;0;7;0;0;32;0;0;0;0;0;21;0;0;75;0;2;14;0;1;2;0;0;5;0;1;1;0;0;6;0;0;5;0;0
31.03.2021;Ausländer;männlich;70 Jahre und mehr;4;0;0;16;0;0;3;0;1;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;0;0;10;0;2;1;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
31.03.2021;Ausländer;männlich;Insgesamt;1910;126;4;2468;150;4;1081;71;7;168;9;0;172;9;0;601;15;0;1037;74;3;77;12;0;1003;81;0;3268;288;13;499;53;7;149;20;0;487;41;2;160;19;0;238;14;0;143;20;0
31.03.2021;Ausländer;weiblich;14 bis unter 18 Jahre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;18 bis unter 21 Jahre;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;21 bis unter 25 Jahre;8;1;0;8;1;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;2;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;25 bis unter 30 Jahre;11;0;0;30;0;0;10;0;0;0;0;0;2;0;0;5;0;0;13;0;0;1;0;0;2;0;0;17;1;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;30 bis unter 40 Jahre;19;0;0;46;0;0;18;0;0;3;0;0;3;0;0;13;0;0;14;0;0;1;0;0;11;0;0;56;0;0;16;0;0;0;0;0;10;0;0;0;0;0;3;0;0;0;0;0
31.03.2021;Ausländer;weiblich;40 bis unter 50 Jahre;17;0;0;36;0;0;11;0;0;1;0;0;1;0;0;8;0;0;9;0;0;1;0;0;9;0;0;34;0;0;9;0;0;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0
31.03.2021;Ausländer;weiblich;50 bis unter 60 Jahre;9;0;0;9;0;0;5;0;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;2;0;0;17;0;0;2;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0
31.03.2021;Ausländer;weiblich;60 bis unter 70 Jahre;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;70 Jahre und mehr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.03.2021;Ausländer;weiblich;Insgesamt;68;3;0;132;3;0;46;2;0;4;0;0;6;0;0;29;0;0;51;1;0;3;0;0;26;6;0;126;12;0;34;1;0;0;0;0;19;0;0;0;0;0;7;0;0;0;0;0
31.03.2021;Ausländer;Insgesamt;14 bis unter 18 Jahre;0;13;0;0;24;0;0;11;0;0;0;0;0;0;0;0;1;0;0;9;0;0;0;0;0;7;0;0;40;0;0;5;0;0;1;0;0;4;0;0;1;0;0;1;0;0;2;0
31.03.2021;Ausländer;Insgesamt;18 bis unter 21 Jahre;16;66;0;13;49;0;0;25;0;0;4;0;2;1;0;0;8;0;1;35;0;0;4;0;3;36;0;5;126;0;3;25;0;0;4;0;0;18;0;0;4;0;2;7;0;1;7;0
31.03.2021;Ausländer;Insgesamt;21 bis unter 25 Jahre;264;47;0;261;79;0;57;35;0;4;4;0;12;7;0;45;6;0;75;31;0;7;8;0;84;42;0;198;128;0;42;23;0;16;15;0;48;19;0;19;14;0;23;6;0;31;11;0
31.03.2021;Ausländer;Insgesamt;25 bis unter 30 Jahre;398;3;1;530;0;0;229;2;0;34;1;0;35;1;0;110;0;0;219;0;0;11;0;0;250;2;0;644;4;0;110;1;0;25;0;0;115;0;0;34;0;0;52;0;0;25;0;0
31.03.2021;Ausländer;Insgesamt;30 bis unter 40 Jahre;678;0;0;929;1;1;426;0;1;69;0;0;74;0;0;247;0;0;407;0;1;31;0;0;360;0;0;1297;2;0;180;0;2;62;0;0;180;0;0;62;0;0;83;0;0;49;0;0
31.03.2021;Ausländer;Insgesamt;40 bis unter 50 Jahre;405;0;0;561;0;1;307;0;2;45;0;0;38;0;0;170;0;0;245;0;2;20;0;0;224;0;0;839;0;5;130;0;1;28;0;0;116;0;0;32;0;0;58;0;0;21;0;0
31.03.2021;Ausländer;Insgesamt;50 bis unter 60 Jahre;177;0;3;232;0;2;90;0;2;16;0;0;12;0;0;48;0;0;107;0;0;9;0;0;86;0;0;325;0;4;52;0;1;16;0;0;41;0;1;12;0;0;19;0;0;11;0;0
31.03.2021;Ausländer;Insgesamt;60 bis unter 70 Jahre;36;0;0;58;0;0;15;0;1;4;0;0;5;0;0;8;0;0;33;0;0;0;0;0;21;0;0;76;0;2;15;0;1;2;0;0;5;0;1;1;0;0;6;0;0;5;0;0
31.03.2021;Ausländer;Insgesamt;70 Jahre und mehr;4;0;0;16;0;0;3;0;1;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;0;0;10;0;2;1;0;2;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0
31.03.2021;Ausländer;Insgesamt;Insgesamt;1978;129;4;2600;153;4;1127;73;7;172;9;0;178;9;0;630;15;0;1088;75;3;80;12;0;1029;87;0;3394;300;13;533;54;7;149;20;0;506;41;2;160;19;0;245;14;0;143;20;0
31.03.2021;Insgesamt;männlich;14 bis unter 18 Jahre;0;49;0;0;56;0;0;18;0;0;0;0;0;1;0;0;3;0;0;20;0;0;5;0;0;23;0;0;106;0;0;18;0;0;4;0;0;12;0;0;9;0;0;5;0;0;5;0
31.03.2021;Insgesamt;männlich;18 bis unter 21 Jahre;39;166;0;35;165;0;0;68;0;1;14;0;4;2;0;0;21;0;3;100;0;1;27;0;4;113;0;8;346;0;6;77;0;0;19;0;1;75;0;0;42;0;2;23;0;1;27;0
31.03.2021;Insgesamt;männlich;21 bis unter 25 Jahre;439;116;0;512;206;0;89;63;0;21;19;0;25;7;0;67;20;0;121;89;0;37;38;0;175;129;0;415;338;0;105;84;0;34;28;0;102;66;0;72;63;0;48;24;0;63;59;0
31.03.2021;Insgesamt;männlich;25 bis unter 30 Jahre;764;6;1;1083;1;0;382;5;0;128;1;0;67;1;0;184;0;0;420;2;0;99;1;0;578;5;0;1557;16;0;325;2;0;80;0;0;316;0;0;191;1;0;154;0;0;136;3;0
31.03.2021;Insgesamt;männlich;30 bis unter 40 Jahre;1548;0;2;2168;1;5;824;0;4;349;0;2;167;0;0;444;0;3;924;0;4;286;0;2;1163;0;1;3496;2;7;702;0;4;205;0;0;755;0;1;599;0;1;280;0;0;487;0;0
31.03.2021;Insgesamt;männlich;40 bis unter 50 Jahre;876;0;15;1228;0;12;556;0;12;137;0;3;97;0;0;278;0;2;614;1;16;166;0;4;745;0;8;2257;0;32;414;0;10;128;0;1;419;0;12;282;0;2;155;0;1;236;0;2
31.03.2021;Insgesamt;männlich;50 bis unter 60 Jahre;489;0;29;768;0;15;252;0;23;80;0;5;41;0;0;118;0;14;345;0;25;71;0;5;417;0;24;1190;0;63;251;0;24;64;0;1;183;0;11;113;0;9;85;0;1;109;0;1
31.03.2021;Insgesamt;männlich;60 bis unter 70 Jahre;183;0;10;266;0;10;89;0;12;42;0;2;15;0;0;30;0;4;133;0;19;30;0;1;141;0;12;379;0;40;83;0;9;24;0;0;47;0;10;37;0;4;22;0;3;38;0;0
31.03.2021;Insgesamt;männlich;70 Jahre und mehr;55;0;4;86;0;7;25;0;2;5;0;0;2;0;0;9;0;1;38;0;4;7;0;0;36;0;4;110;0;8;24;0;6;4;0;0;17;0;2;8;0;1;11;0;0;7;0;0
31.03.2021;Insgesamt;männlich;Insgesamt;4393;337;61;6146;429;49;2217;154;53;763;34;12;418;11;0;1130;44;24;2598;212;68;697;71;12;3259;270;49;9412;808;150;1910;181;53;539;51;2;1840;153;36;1302;115;17;757;52;5;1077;94;3
31.03.2021;Insgesamt;weiblich;14 bis unter 18 Jahre;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;3;0;0;11;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;18 bis unter 21 Jahre;0;10;0;2;9;0;0;2;0;0;0;0;0;0;0;0;0;0;2;5;0;0;1;0;1;5;0;0;14;0;1;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;21 bis unter 25 Jahre;16;3;0;29;2;0;3;1;0;2;3;0;0;0;0;0;0;0;9;1;0;0;0;0;5;2;0;11;14;0;2;1;0;0;0;0;4;2;0;1;0;0;1;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;25 bis unter 30 Jahre;30;0;0;71;0;0;16;0;0;15;0;0;3;0;0;7;0;0;26;0;0;6;0;0;18;0;0;69;1;0;21;0;0;0;0;0;28;0;0;0;0;0;5;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;30 bis unter 40 Jahre;79;0;0;157;0;0;50;0;0;44;0;0;10;0;0;31;0;0;61;0;0;11;0;0;78;0;0;266;0;0;67;0;0;0;0;0;79;0;0;5;0;0;19;0;0;4;0;0
31.03.2021;Insgesamt;weiblich;40 bis unter 50 Jahre;64;0;0;109;0;0;33;0;0;17;0;0;12;0;0;20;0;0;46;0;0;5;0;0;55;0;0;163;0;0;39;0;0;0;0;0;41;0;0;0;0;0;15;0;0;1;0;0
31.03.2021;Insgesamt;weiblich;50 bis unter 60 Jahre;35;0;1;58;0;0;13;0;0;8;0;0;1;0;0;5;0;0;27;0;0;2;0;0;21;0;0;98;0;0;24;0;0;0;0;0;10;0;0;1;0;0;4;0;0;1;0;0
31.03.2021;Insgesamt;weiblich;60 bis unter 70 Jahre;9;0;0;19;0;0;9;0;0;4;0;0;0;0;0;2;0;0;7;0;1;2;0;0;6;0;0;25;0;0;8;0;0;0;0;0;3;0;0;3;0;0;2;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;70 Jahre und mehr;2;0;0;3;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0
31.03.2021;Insgesamt;weiblich;Insgesamt;235;16;1;448;12;0;126;3;0;91;3;0;26;0;0;65;0;0;178;7;1;27;3;0;186;10;0;638;40;0;162;5;0;0;0;0;168;6;0;10;0;0;47;0;0;6;0;0
31.03.2021;Insgesamt;Insgesamt;14 bis unter 18 Jahre;0;52;0;0;57;0;0;18;0;0;0;0;0;1;0;0;3;0;0;21;0;0;7;0;0;26;0;0;117;0;0;20;0;0;4;0;0;14;0;0;9;0;0;5;0;0;5;0
31.03.2021;Insgesamt;Insgesamt;18 bis unter 21 Jahre;39;176;0;37;174;0;0;70;0;1;14;0;4;2;0;0;21;0;5;105;0;1;28;0;5;118;0;8;360;0;7;79;0;0;19;0;1;77;0;0;42;0;2;23;0;1;27;0
31.03.2021;Insgesamt;Insgesamt;21 bis unter 25 Jahre;455;119;0;541;208;0;92;64;0;23;22;0;25;7;0;67;20;0;130;90;0;37;38;0;180;131;0;426;352;0;107;85;0;34;28;0;106;68;0;73;63;0;49;24;0;63;59;0
31.03.2021;Insgesamt;Insgesamt;25 bis unter 30 Jahre;794;6;1;1154;1;0;398;5;0;143;1;0;70;1;0;191;0;0;446;2;0;105;1;0;596;5;0;1626;17;0;346;2;0;80;0;0;344;0;0;191;1;0;159;0;0;136;3;0
31.03.2021;Insgesamt;Insgesamt;30 bis unter 40 Jahre;1627;0;2;2325;1;5;874;0;4;393;0;2;177;0;0;475;0;3;985;0;4;297;0;2;1241;0;1;3762;2;7;769;0;4;205;0;0;834;0;1;604;0;1;299;0;0;491;0;0
31.03.2021;Insgesamt;Insgesamt;40 bis unter 50 Jahre;940;0;15;1337;0;12;589;0;12;154;0;3;109;0;0;298;0;2;660;1;16;171;0;4;800;0;8;2420;0;32;453;0;10;128;0;1;460;0;12;282;0;2;170;0;1;237;0;2
31.03.2021;Insgesamt;Insgesamt;50 bis unter 60 Jahre;524;0;30;826;0;15;265;0;23;88;0;5;42;0;0;123;0;14;372;0;25;73;0;5;438;0;24;1288;0;63;275;0;24;64;0;1;193;0;11;114;0;9;89;0;1;110;0;1
31.03.2021;Insgesamt;Insgesamt;60 bis unter 70 Jahre;192;0;10;285;0;10;98;0;12;46;0;2;15;0;0;32;0;4;140;0;20;32;0;1;147;0;12;404;0;40;91;0;9;24;0;0;50;0;10;40;0;4;24;0;3;38;0;0
31.03.2021;Insgesamt;Insgesamt;70 Jahre und mehr;57;0;4;89;0;7;27;0;2;6;0;0;2;0;0;9;0;1;38;0;4;8;0;0;38;0;4;116;0;8;24;0;6;4;0;0;20;0;2;8;0;1;12;0;0;7;0;0
